po_number,po_date,po_source,vendor_name,po_zoho_id,db_po_total,zoho_po_total,shipping_amount,tax_amount,handling_amount,total_charges,bill_count,bill_id,bill_number,bill_status,bill_subtotal,bill_adjustment,bill_adjustment_desc,bill_total,total_diff,classification,notes
06-15048-88070,2026-08-17,UNKNOWN,67eringobragh,5623409000003347363,470.00,470.00,0.00,0.00,0.00,0.00,1,5623409000003349027,06-15048-88070,open,470.00,45.00,Shipping Fee + Tax + Handling Fee,515.00,45.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 45.00 (bill adjustment=45.00, charges=0.00)"
27-15009-35043,2026-08-16,UNKNOWN,howdah55,5623409000003348031,28.80,28.80,0.00,0.00,0.00,0.00,1,5623409000003335993,27-15009-35043,overdue,28.80,19.85,Shipping Fee + Tax + Handling Fee,48.65,19.85,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 19.85 (bill adjustment=19.85, charges=0.00)"
16-15028-59608,2026-08-16,UNKNOWN,gwnw165.2025,5623409000003338862,36.98,36.98,0.00,0.00,0.00,0.00,1,5623409000003338872,16-15028-59608,overdue,36.98,16.99,Shipping Fee + Tax + Handling Fee,53.97,16.99,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 16.99 (bill adjustment=16.99, charges=0.00)"
19-15023-30962,2026-08-16,UNKNOWN,whyhoardstuff95,5623409000003338855,19.74,19.74,0.00,0.00,0.00,0.00,1,5623409000003347346,19-15023-30962,overdue,19.74,10.00,Shipping Fee + Tax + Handling Fee,29.74,10.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 10.00 (bill adjustment=10.00, charges=0.00)"
20-15021-44672,2026-08-16,UNKNOWN,thrifttolife,5623409000003338848,20.98,20.98,0.00,0.00,0.00,0.00,1,5623409000003335973,20-15021-44672,overdue,20.98,6.99,Shipping Fee + Tax + Handling Fee,27.97,6.99,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 6.99 (bill adjustment=6.99, charges=0.00)"
24-15029-26681,2026-08-16,UNKNOWN,secondhanddreams1419,5623409000003338841,41.68,41.68,0.00,0.00,0.00,0.00,1,5623409000003347326,24-15029-26681,overdue,41.68,9.69,Shipping Fee + Tax + Handling Fee,51.37,9.69,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 9.69 (bill adjustment=9.69, charges=0.00)"
24-15029-28758,2026-08-16,UNKNOWN,damir309,5623409000003335956,38.06,38.06,0.00,0.00,0.00,0.00,1,5623409000003344720,24-15029-28758,overdue,38.06,8.07,Shipping Fee + Tax + Handling Fee,46.13,8.07,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 8.07 (bill adjustment=8.07, charges=0.00)"
22-15013-04585,2026-08-15,UNKNOWN,resell_me,5623409000003335760,97.71,97.71,0.00,0.00,0.00,0.00,1,5623409000003347078,22-15013-04585,overdue,97.71,12.72,Shipping Fee + Tax + Handling Fee,110.43,12.72,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 12.72 (bill adjustment=12.72, charges=0.00)"
12-15031-38639,2026-08-15,UNKNOWN,vintage_fantastique,5623409000003347068,159.20,159.20,0.00,0.00,0.00,0.00,1,5623409000003343866,12-15031-38639,overdue,159.20,24.20,Shipping Fee + Tax + Handling Fee,183.40,24.20,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 24.20 (bill adjustment=24.20, charges=0.00)"
17-15022-44480,2026-08-15,UNKNOWN,never_forever,5623409000003343856,106.97,106.97,0.00,0.00,0.00,0.00,1,5623409000003338638,17-15022-44480,overdue,106.97,36.97,Shipping Fee + Tax + Handling Fee,143.94,36.97,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 36.97 (bill adjustment=36.97, charges=0.00)"
09-15036-65988,2026-08-15,UNKNOWN,ctrsg49902010,5623409000003335753,136.78,136.78,0.00,0.00,0.00,0.00,1,5623409000003344433,09-15036-65988,overdue,136.78,28.78,Shipping Fee + Tax + Handling Fee,165.56,28.78,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 28.78 (bill adjustment=28.78, charges=0.00)"
LCPU - A VU - 08.14.2026,2026-08-15,UNKNOWN,LCPU - A VU,5623409000003344375,0.00,0.00,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
24-15022-98344,2026-08-15,UNKNOWN,maracina7,5623409000003344347,87.67,87.67,0.00,0.00,0.00,0.00,1,5623409000003344357,24-15022-98344,overdue,87.67,24.68,Shipping Fee + Tax + Handling Fee,112.35,24.68,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 24.68 (bill adjustment=24.68, charges=0.00)"
09-15032-90928,2026-08-14,UNKNOWN,ddennard30_gmail,5623409000003338559,442.50,442.50,0.00,0.00,0.00,0.00,1,5623409000003344324,09-15032-90928,overdue,442.50,47.50,Shipping Fee + Tax + Handling Fee,490.00,47.50,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 47.50 (bill adjustment=47.50, charges=0.00)"
09-15032-94397,2026-08-14,UNKNOWN,scottrowsalsa,5623409000003337807,74.97,74.97,0.00,0.00,0.00,0.00,1,5623409000003343796,09-15032-94397,overdue,74.97,20.98,Shipping Fee + Tax + Handling Fee,95.95,20.98,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 20.98 (bill adjustment=20.98, charges=0.00)"
17-15019-42609,2026-08-14,UNKNOWN,greensale99,5623409000003344286,947.76,947.76,0.00,0.00,0.00,0.00,1,5623409000003344296,17-15019-42609,overdue,947.76,38.88,Shipping Fee + Tax + Handling Fee,986.64,38.88,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 38.88 (bill adjustment=38.88, charges=0.00)"
08-15027-20064,2026-08-12,UNKNOWN,punkpo,5623409000003339178,160.99,160.99,0.00,0.00,0.00,0.00,1,5623409000003339188,08-15027-20064,overdue,160.99,25.00,Shipping Fee + Tax + Handling Fee,185.99,25.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 25.00 (bill adjustment=25.00, charges=0.00)"
19-14972-20680,2026-08-04,UNKNOWN,greensale99,5623409000003328238,375.00,375.00,0.00,0.00,0.00,0.00,1,5623409000003330122,19-14972-20680,overdue,375.00,9.88,Shipping Fee + Tax + Handling Fee,384.88,9.88,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 9.88 (bill adjustment=9.88, charges=0.00)"
07-15020-91071,2026-08-10,UNKNOWN,pawn1_08,5623409000003305427,141.00,141.00,0.00,0.00,0.00,0.00,1,5623409000003297438,07-15020-91071,overdue,141.00,20.00,Shipping Fee + Tax + Handling Fee,161.00,20.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 20.00 (bill adjustment=20.00, charges=0.00)"
64498124,2026-08-07,UNKNOWN,Goodwill,5623409000003287183,185.76,185.76,0.00,0.00,0.00,0.00,1,5623409000003287193,64498124,overdue,185.76,22.53,Shipping Fee + Tax + Handling Fee,208.29,22.53,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 22.53 (bill adjustment=22.53, charges=0.00)"
64498089,2026-08-07,UNKNOWN,Goodwill,5623409000003290229,25.00,25.00,0.00,0.00,0.00,0.00,1,5623409000003290239,64498089,overdue,25.00,15.01,Shipping Fee + Tax + Handling Fee,40.01,15.01,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 15.01 (bill adjustment=15.01, charges=0.00)"
08-15013-05486,2026-08-09,UNKNOWN,dlogan4344313,5623409000003290180,371.00,371.00,0.00,0.00,0.00,0.00,1,5623409000003285135,08-15013-05486,overdue,371.00,46.00,Shipping Fee + Tax + Handling Fee,417.00,46.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 46.00 (bill adjustment=46.00, charges=0.00)"
22-14976-13600,2026-08-06,UNKNOWN,rschmidt3765,5623409000003257687,40.13,40.13,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
22-14972-39024,2026-08-05,UNKNOWN,johsend0,5623409000003257486,43.57,43.57,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
20-14944-50609,2026-07-29,UNKNOWN,thinkpan,5623409000003197481,33.99,33.99,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
B004553295,2026-07-27,UNKNOWN,Bose Corporation,5623409000003175315,1199.57,1199.57,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
64064423,2026-07-20,UNKNOWN,Goodwill,5623409000003123192,124.33,124.33,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
114-2747188-4855438,2026-07-17,UNKNOWN,BOJACK ELECTRON,5623409000003114087,5.89,5.89,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
304614802501021606,2026-06-09,UNKNOWN,Alibaba,5623409000003092192,361.50,361.50,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
08-14860-81236,2026-07-05,UNKNOWN,trietslab,5623409000002972446,98.99,98.99,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
14-14855-25412,2026-07-06,UNKNOWN,bigfranktrading,5623409000002970516,45.58,45.58,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
19-14835-02680,2026-07-03,UNKNOWN,brade-3994,5623409000002950869,230.95,230.95,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
25-14820-32063,2026-07-02,UNKNOWN,didikaipickin,5623409000002948040,331.34,331.34,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
12-14831-12627,2026-06-29,UNKNOWN,leaf_tech,5623409000002899001,34.29,34.29,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
21-14814-14760,2026-06-29,UNKNOWN,trietslab,5623409000002893197,97.99,97.99,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
22-14766-19957,2026-06-18,UNKNOWN,soundream,5623409000002759726,1407.18,1407.18,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
B004334644,2026-06-18,UNKNOWN,Bose Corporation,5623409000002757769,1290.85,1290.85,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
63139736,2026-06-09,UNKNOWN,Goodwill,5623409000002731413,36.27,36.27,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
20-14736-65716,2026-06-10,UNKNOWN,gratefulmonk,5623409000002701090,100.81,100.81,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
27-14721-32085,2026-06-09,UNKNOWN,scuffycat2,5623409000002684641,219.84,219.84,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
01-14753-53534,2026-06-06,UNKNOWN,jue-1986,5623409000002662247,330.00,330.00,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
8212461757108387,2026-06-05,UNKNOWN,Airow RV And Auto Accessories Store,5623409000002651405,599.39,599.39,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
25-14690-06640,2026-06-01,UNKNOWN,arphome,5623409000002646001,749.98,749.98,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
62984427,2026-06-02,UNKNOWN,Goodwill,5623409000002618744,39.58,39.58,0.00,0.00,0.00,0.00,1,5623409000002618932,62984427,overdue,22.56,17.02,Shipping Fee + Tax + Handling Fee,39.58,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=17.02"
62984419,2026-06-02,UNKNOWN,Goodwill,5623409000002618737,24.06,24.06,0.00,0.00,0.00,0.00,1,5623409000002618908,62984419,overdue,9.99,14.07,Shipping Fee + Tax + Handling Fee,24.06,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=14.07"
62984405,2026-06-02,UNKNOWN,Goodwill,5623409000002622503,34.38,34.38,0.00,0.00,0.00,0.00,1,5623409000002618806,62984405,overdue,10.99,23.39,Shipping Fee + Tax + Handling Fee,34.38,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=23.39"
62984389,2026-06-02,UNKNOWN,Goodwill,5623409000002620336,41.22,41.22,0.00,0.00,0.00,0.00,1,5623409000002618830,62984389,overdue,12.99,28.23,Shipping Fee + Tax + Handling Fee,41.22,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=28.23"
62984293,2026-06-02,UNKNOWN,Goodwill,5623409000002618729,80.75,80.75,0.00,0.00,0.00,0.00,1,5623409000002618878,62984293,overdue,74.93,5.82,Shipping Fee + Tax + Handling Fee,80.75,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=5.82"
62984141,2026-06-02,UNKNOWN,Goodwill,5623409000002616322,35.89,35.89,0.00,0.00,0.00,0.00,1,5623409000002618782,62984141,overdue,19.99,15.90,Shipping Fee + Tax + Handling Fee,35.89,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=15.90"
62983975,2026-06-02,UNKNOWN,Goodwill,5623409000002618722,42.26,42.26,0.00,0.00,0.00,0.00,1,5623409000002618854,62983975,overdue,26.00,16.26,Shipping Fee + Tax + Handling Fee,42.26,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=16.26"
62983952,2026-06-02,UNKNOWN,Goodwill,5623409000002616315,79.97,79.97,0.00,0.00,0.00,0.00,1,5623409000002618758,62983952,overdue,61.00,18.97,Shipping Fee + Tax + Handling Fee,79.97,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=18.97"
08-14716-08133,2026-06-01,UNKNOWN,jacobarboz-1,5623409000002622496,285.99,285.99,0.00,0.00,0.00,0.00,1,5623409000002618678,08-14716-08133,overdue,266.00,19.99,Shipping Fee + Tax + Handling Fee,285.99,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=19.99"
19-14699-14116,2026-06-01,UNKNOWN,xrandoshopx,5623409000002618661,88.56,88.56,0.00,0.00,0.00,0.00,1,5623409000002622479,19-14699-14116,overdue,80.00,8.56,Shipping Fee + Tax + Handling Fee,88.56,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=8.56"
17-14702-76346,2026-06-01,UNKNOWN,volunteerpawn,5623409000002618614,274.78,274.78,0.00,0.00,0.00,0.00,1,5623409000002618624,17-14702-76346,overdue,255.00,19.78,Shipping Fee + Tax + Handling Fee,274.78,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=19.78"
09-14716-76319,2026-06-01,UNKNOWN,speakerhouse,5623409000002621199,269.00,269.00,0.00,0.00,0.00,0.00,1,5623409000002619239,09-14716-76319,overdue,249.00,20.00,Shipping Fee + Tax + Handling Fee,269.00,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=20.00"
22-14689-10217,2026-05-31,UNKNOWN,tadente85,5623409000002618547,99.99,99.99,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
21-14690-31911,2026-05-31,UNKNOWN,3coolcats,5623409000002618533,243.61,243.61,0.00,0.00,0.00,0.00,1,5623409000002620315,21-14690-31911,overdue,220.00,23.61,Shipping Fee + Tax + Handling Fee,243.61,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=23.61"
16-14699-28268,2026-05-31,UNKNOWN,jermdun_79,5623409000002619229,85.00,85.00,0.00,0.00,0.00,0.00,1,5623409000002616283,16-14699-28268,overdue,70.00,15.00,Shipping Fee + Tax + Handling Fee,85.00,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=15.00"
04-14730-15769,2026-06-03,UNKNOWN,bi600388,5623409000002619222,689.91,689.91,0.00,0.00,0.00,0.00,1,5623409000002620288,04-14730-15769,overdue,610.00,79.91,Shipping Fee + Tax + Handling Fee,689.91,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=79.91"
62948263,2026-05-31,UNKNOWN,Goodwill,5623409000002620206,31.76,31.76,0.00,0.00,0.00,0.00,1,5623409000002622439,62948263,overdue,16.00,15.76,Shipping Fee + Tax + Handling Fee,31.76,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=15.76"
62984223,2026-06-02,UNKNOWN,Goodwill,5623409000002618355,99.90,99.90,0.00,0.00,0.00,0.00,1,5623409000002620165,62984223,overdue,67.00,32.90,Shipping Fee + Tax + Handling Fee,99.90,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=32.90"
09-14719-40363,2026-06-02,UNKNOWN,theglow85,5623409000002620154,428.38,428.38,0.00,0.00,0.00,0.00,1,5623409000002618373,09-14719-40363,overdue,399.99,28.39,Shipping Fee + Tax + Handling Fee,428.38,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=28.39"
07-14725-93270,2026-06-03,UNKNOWN,willkoca,5623409000002616230,89.99,89.99,0.00,0.00,0.00,0.00,1,5623409000002618338,07-14725-93270,overdue,75.00,14.99,Shipping Fee + Tax + Handling Fee,89.99,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=14.99"
16-14709-16953,2026-06-02,UNKNOWN,myxter,5623409000002621155,291.09,291.09,0.00,0.00,0.00,0.00,1,5623409000002622412,16-14709-16953,overdue,265.00,26.09,Shipping Fee + Tax + Handling Fee,291.09,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=26.09"
20-14704-14993,2026-06-02,UNKNOWN,bslion017,5623409000002616209,119.98,119.98,0.00,0.00,0.00,0.00,1,5623409000002618274,20-14704-14993,overdue,99.99,19.99,Shipping Fee + Tax + Handling Fee,119.98,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=19.99"
14-14713-69248,2026-06-02,UNKNOWN,simonsellsma,5623409000002616202,229.64,229.64,0.00,0.00,0.00,0.00,1,5623409000002618298,14-14713-69248,overdue,169.74,59.90,Shipping Fee + Tax + Handling Fee,229.64,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=59.90"
09-14721-69850,2026-06-02,UNKNOWN,lupey606,5623409000002621141,401.89,401.89,0.00,0.00,0.00,0.00,1,5623409000002618151,09-14721-69850,overdue,374.99,26.90,Shipping Fee + Tax + Handling Fee,401.89,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=26.90"
16-14710-67858,2026-06-02,UNKNOWN,randomstore25,5623409000002616154,110.67,110.67,0.00,0.00,0.00,0.00,1,5623409000002620135,16-14710-67858,overdue,99.00,11.67,Shipping Fee + Tax + Handling Fee,110.67,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=11.67"
C2000157069,2026-05-05,UNKNOWN,Monoprice,5623409000002616146,2199.96,2199.96,0.00,0.00,0.00,0.00,1,5623409000002618122,C2000157069,overdue,1814.00,385.96,Shipping Fee + Tax + Handling Fee,2199.96,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=385.96"
21-14698-00908,2026-06-02,UNKNOWN,greensale99,5623409000002620045,207.76,207.76,0.00,0.00,0.00,0.00,1,5623409000002618026,21-14698-00908,overdue,178.88,28.88,Shipping Fee + Tax + Handling Fee,207.76,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=28.88"
07-14718-96985,2026-06-01,UNKNOWN,greensale99,5623409000002622072,599.52,599.52,0.00,0.00,0.00,0.00,1,5623409000002622082,07-14718-96985,overdue,531.76,67.76,Shipping Fee + Tax + Handling Fee,599.52,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=67.76"
05-14725-01574,2026-06-02,UNKNOWN,ajayartifacts,5623409000002616056,211.50,211.50,0.00,0.00,0.00,0.00,1,5623409000002621043,05-14725-01574,overdue,200.00,11.50,Shipping Fee + Tax + Handling Fee,211.50,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=11.50"
01-14731-66273,2026-06-02,UNKNOWN,shopsastores_grandrapids,5623409000002619016,154.49,154.49,0.00,0.00,0.00,0.00,1,5623409000002619027,01-14731-66273,overdue,139.50,14.99,Shipping Fee + Tax + Handling Fee,154.49,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=14.99"
62950479,2026-05-31,UNKNOWN,Goodwill,5623409000002605149,34.20,34.20,0.00,0.00,0.00,0.00,1,5623409000002611330,62950479,overdue,19.99,14.21,Shipping Fee + Tax + Handling Fee,34.20,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=14.21"
62950514,2026-05-31,UNKNOWN,Goodwill,5623409000002607098,74.39,74.39,0.00,0.00,0.00,0.00,1,5623409000002611282,62950514,overdue,56.00,18.39,Shipping Fee + Tax + Handling Fee,74.39,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=18.39"
62948297,2026-05-31,UNKNOWN,Goodwill,5623409000002607091,52.80,52.80,0.00,0.00,0.00,0.00,1,5623409000002611306,62948297,overdue,31.00,21.80,Shipping Fee + Tax + Handling Fee,52.80,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=21.80"
02-14724-20618,2026-06-01,UNKNOWN,masterdvdusb,5623409000002609094,57.56,57.56,0.00,0.00,0.00,0.00,1,5623409000002611150,02-14724-20618,overdue,48.00,9.56,Shipping Fee + Tax + Handling Fee,57.56,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=9.56"
06-14711-00469,2026-05-30,EBAY_PURCHASING_API,clarkes,5623409000002611117,53.25,53.25,13.26,0.00,0.00,13.26,1,5623409000002609066,06-14711-00469,overdue,39.99,13.26,Shipping Fee + Tax + Handling Fee,53.25,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=13.26"
25-14680-50289,2026-05-30,EBAY_PURCHASING_API,storagehunter8179,5623409000002605112,119.80,119.80,17.30,0.00,0.00,17.30,1,5623409000002606103,25-14680-50289,overdue,102.50,17.30,Shipping Fee + Tax + Handling Fee,119.80,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=17.30"
22-14685-26944,2026-05-30,EBAY_PURCHASING_API,purple740,5623409000002612087,142.99,142.99,17.99,0.00,0.00,17.99,1,5623409000002612098,22-14685-26944,overdue,125.00,17.99,Shipping Fee + Tax + Handling Fee,142.99,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=17.99"
07-14709-33810,2026-05-30,EBAY_PURCHASING_API,gallawaygames,5623409000002609022,63.06,63.06,18.06,0.00,0.00,18.06,1,5623409000002611093,07-14709-33810,overdue,45.00,18.06,Shipping Fee + Tax + Handling Fee,63.06,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=18.06"
01-14719-86405,2026-05-30,EBAY_PURCHASING_API,parodox2144-4,5623409000002611063,69.99,69.99,19.99,0.00,0.00,19.99,1,5623409000002611073,01-14719-86405,overdue,50.00,19.99,Shipping Fee + Tax + Handling Fee,69.99,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=19.99"
11-14702-73308,2026-05-30,EBAY_PURCHASING_API,barric-bppjvpjl8,5623409000002612080,179.69,179.69,29.69,0.00,0.00,29.69,1,5623409000002607042,11-14702-73308,overdue,150.00,29.69,Shipping Fee + Tax + Handling Fee,179.69,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=29.69"
17-14693-17607,2026-05-30,EBAY_PURCHASING_API,doctorjtd,5623409000002606086,319.99,319.99,20.00,0.00,0.00,20.00,1,5623409000002611046,17-14693-17607,overdue,299.99,20.00,Shipping Fee + Tax + Handling Fee,319.99,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=20.00"
03-14715-72955,2026-05-30,EBAY_PURCHASING_API,kikem2020,5623409000002612053,221.20,221.20,21.20,0.00,0.00,21.20,1,5623409000002612063,03-14715-72955,overdue,200.00,21.20,Shipping Fee + Tax + Handling Fee,221.20,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=21.20"
26-14678-93445,2026-05-30,EBAY_PURCHASING_API,307_records,5623409000002609015,244.70,244.70,19.70,0.00,0.00,19.70,1,5623409000002605088,26-14678-93445,overdue,225.00,19.70,Shipping Fee + Tax + Handling Fee,244.70,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=19.70"
15-14696-37751,2026-05-30,EBAY_PURCHASING_API,certifiedrhodes,5623409000002612046,247.25,247.25,17.25,0.00,0.00,17.25,1,5623409000002605068,15-14696-37751,overdue,230.00,17.25,Shipping Fee + Tax + Handling Fee,247.25,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=17.25"
01-14719-98387,2026-05-30,EBAY_PURCHASING_API,sasquatchpicks,5623409000002606079,90.00,90.00,14.00,0.00,0.00,14.00,1,5623409000002611019,01-14719-98387,overdue,76.00,14.00,Shipping Fee + Tax + Handling Fee,90.00,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=14.00"
07-14709-53736,2026-05-30,EBAY_PURCHASING_API,alamarketing13,5623409000002612039,193.65,193.65,18.65,0.00,0.00,18.65,1,5623409000002606055,07-14709-53736,overdue,175.00,18.65,Shipping Fee + Tax + Handling Fee,193.65,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=18.65"
25-14680-91081,2026-05-30,EBAY_PURCHASING_API,tf-techflow,5623409000002606045,91.34,91.34,31.34,0.00,0.00,31.34,1,5623409000002605048,25-14680-91081,overdue,60.00,31.34,Shipping Fee + Tax + Handling Fee,91.34,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=31.34"
02-14718-48565,2026-05-30,EBAY_PURCHASING_API,fitzstore,5623409000002607011,40.00,52.97,23.17,0.00,0.00,23.17,1,5623409000002612015,02-14718-48565,overdue,29.80,23.17,Shipping Fee + Tax + Handling Fee,52.97,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=23.17"
20-14690-36113,2026-05-30,EBAY_PURCHASING_API,magicalmarket,5623409000002612005,90.00,90.00,20.00,0.00,0.00,20.00,1,5623409000002606009,20-14690-36113,overdue,70.00,20.00,Shipping Fee + Tax + Handling Fee,90.00,0.00,MATCH_WITH_ADJ,"Bill total matches PO total, but has adjustment=20.00"
