variant_full_sku,variant_name,platform,external_ref_id,listed_name
00005-P-2,Bose 151 Environmental Speaker Pair - Adjustable Tilt-Mount Brackets,ECWID,05078,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker - Single
00005-P-2-WH,Bose 151 Environmental Speaker Pair - Adjustable Tilt-Mount Brackets White,EBAY_MEKONG,157189619115,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 - Single - White
00005-P-3,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets,EBAY_USAV,364490802363,Genuine Bose Metal Wall Brackets for Bose Model 151 Speakers
00005-P-3-WH,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White,EBAY_MEKONG,156140561216,Bose WB-10 (White) Wall brackets for Bose Model 151 speakers
00005-P-3-WH,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White,EBAY_USAV,364490805166,Genuine Bose Metal Wall Brackets for Bose Model 151 101 Speakers - White
00005-P-3-WH,Bose 151 Environmental Speaker Pair - WB-10 Wall Brackets White,ECWID,00064,Bose WB-10 (White) Wall brackets for Bose Model 151 speakers
00005-P-4-N,Bose 151 Environmental Speaker Pair - Swivel Wall Ceiling Bracket Pair New,EBAY_USAV,364884510616,NEW  Bose Metal Swivel Wall Ceiling  Bracket for Bose Model 151 / 151 SE - Pair
00005-P-6,Bose 151 Environmental Speaker Pair - Wall Ceiling Bracket Pair,EBAY_USAV,365227845084,Pair of Genuine  Bose Metal Wall Ceiling Bracket for Bose Model 151  151 SE
00005-WH,Bose 151 Environmental Speaker Pair White,AMAZON,B00007AJ8B,Bose 151 Indoor/Outdoor Speaker Pair (White)
00005-WH,Bose 151 Environmental Speaker Pair White,EBAY_MEKONG,157309014481,Bose 151 Indoor/Outdoor Speaker Pair (White)
00005-WH,Bose 151 Environmental Speaker Pair White,EBAY_DRAGON,267459010323,Bose 151 Indoor/Outdoor Speaker Pair - White
00005-WH,Bose 151 Environmental Speaker Pair White,ECWID,00840,Bose 151 Environmental Speaker Pair with Brackets - White
00006-BK,Bose 201-V Stereo Loudspeakers Black,AMAZON,B00006L7RT,Bose 201-V Stereo Loudspeakers (Pair) - Black
00006-BK,Bose 201-V Stereo Loudspeakers Black,AMAZON,B00006L7RV,Bose 301-V Stereo Loudspeakers (Pair) - Black
00006-CH,Bose 201-V Stereo Loudspeakers Cherry,AMAZON,B00006L7RU,Bose 201-V Stereo Loudspeakers (Pair) - Cherry
00007-P-1-BK,Bose 151 SE or 161 - Mounting Bracket Black,AMAZON,B0FP4D8QMZ,"USAV Solutions Replacement Mounting Bracket for Bose 151 SE and 161 Speakers, Black, Plastic Wall Mount, Single Bracket with Mounting Hardware"
00007-P-1-BK,Bose 151 SE or 161 - Mounting Bracket Black,EBAY_USAV,364282360847,Genuine Bose Mounting bracket for Bose 151 SE or 161 Speaker - Black -Single
00007-P-1-BK,Bose 151 SE or 161 - Mounting Bracket Black,ECWID,01726,Genuine Bose Mounting bracket for Bose 151 SE or 161 Speaker - Black -Single
00007-P-1-BK-N,Bose 151 SE or 161 - Mounting Bracket Black New,EBAY_USAV,363571136488,NEW Genuine Bose Black Mounting Bracket for Bose 151 SE or 161 Speaker  - Single
00007-P-1-BK-N,Bose 151 SE or 161 - Mounting Bracket Black New,ECWID,01726-N,Genuine Bose Mounting bracket for Bose 151 SE or 161 Speaker - Black - Single - NEW
00007-P-1-WH,Bose 151 SE or 161 - Mounting Bracket White,AMAZON,B0FP3V344P,USAV Solutions Replacement Mounting Bracket for Bose 151 SE or 161 Speaker - White - Single
00007-P-1-WH,Bose 151 SE or 161 - Mounting Bracket White,EBAY_USAV,363571133239,Genuine Bose Mounting bracket for Bose 151 SE or 161 Speaker - White -Single
00007-P-1-WH,Bose 151 SE or 161 - Mounting Bracket White,ECWID,01223,Genuine Bose Mounting bracket for Bose 151 SE or 161 Speaker - white -Single
00007-P-2,Bose 151 SE or 161 - Machine Screws,EBAY_USAV,363490844277,04 PCS  of Machine screws For For Bose 151 101
00008-BK,Bose FS-1 Bookshelf Speaker Floorstands Black,AMAZON,B0000E6GHH,Bose� FS-1 Bookshelf Speaker floorstands (Pair) � Black and Silver
00009-GR,Bose Companion 3 Multimedia Speaker System Graphite,AMAZON,B00011CNWG,Bose Companion 3 Multimedia Speaker System - Graphite / Silver
00009-GR,Bose Companion 3 Multimedia Speaker System Graphite,EBAY_DRAGON,257184468271,Bose Companion 3 Multimedia Speaker System - Graphite / Silver
00009-P-1,Bose Companion 3 Multimedia Speaker System - Subwoofer Speaker Driver,EBAY_USAV,365000688154,REPLACEMENT Bose Companion 3 Subwoofer Speaker Driver
00009-SV,Bose Companion 3 Multimedia Speaker System,ECWID,00983,Bose Companion 3 Multimedia Speaker System - Graphite / Silver
00010-GY,Bose Wave Audio System Radio/CD Grey,AMAZON,B00021Y9N6,Bose Wave - Audio System - Radio / Cd - Graphite Gray
00010-GY,Bose Wave Audio System Radio/CD Grey,EBAY_DRAGON,267453838780,Bose Wave - Audio System - Radio/Cd - Graphite Gray
00010-GY,Bose Wave Audio System Radio/CD Grey,ECWID,04886,Bose Wave - Audio System - Radio/Cd - Graphite Gray
00011,Bose Lifestyle 38 DVD Home Entertainment System,AMAZON,B0002F94UA,Bose(R) Lifestyle 38 DVD Home Entertainment System
00012,Bose Lifestyle SA-2 Amplifier,AMAZON,B0002JUH34,Lifestyle SA-2 Amplifier
00012,Bose Lifestyle SA-2 Amplifier,EBAY_DRAGON,265770328489,Bose Lifestyle SA-2 amplifier
00012,Bose Lifestyle SA-2 Amplifier,ECWID,00964,Bose Lifestyle SA-2 amplifier
00013-GR,Bose 321 GS Series II DVD Home Entertainment System Graphite,AMAZON,B0002JY6SG,Bose(R) 321 GS Series II DVD Home Entertainment System - Graphite
00013-GR-R,Bose 321 GS Series II DVD Home Entertainment System Graphite Refurbished,EBAY_DRAGON,257191612177,Bose 321 GS Series II DVD Home Entertainment System Graphite Refurbished
00013-P-1,Bose 321 GS Series II DVD Home Entertainment System - Media Center,AMAZON,0F-1H0O-RVQN,321 GS Series II Media Center ONLY with Updated firmware
00013-P-1,Bose 321 GS Series II DVD Home Entertainment System - Media Center,EBAY_MEKONG,155607254115,321 GS Series II Media Center ONLY with Updated firmware
00013-P-1,Bose 321 GS Series II DVD Home Entertainment System - Media Center,EBAY_USAV,365234835135,"Bose 321 GS II Home theater system, 3-2-1 GS series II Media center only."
00014,Bose 321 Series II DVD Home Entertainment System,ECWID,03764,Bose 321 Series II Home Entertainment System
00014-GR,Bose 321 Series II DVD Home Entertainment System Graphite,AMAZON,B0002JY6T0,BOSE(R) 321 Series II DVD Home Entertainment System Graphite
00014-P-1,Bose 321 Series II DVD Home Entertainment System - Media Center,EBAY_MEKONG,154373238964,Replacement Bose 321 Series II Media Center for Bose AV-321 Series II
00014-P-1,Bose 321 Series II DVD Home Entertainment System - Media Center,EBAY_USAV,362905504929,"Bose 321 Home theater system, 3-2-1 series II Media center only."
00014-P-1,Bose 321 Series II DVD Home Entertainment System - Media Center,EBAY_DRAGON,265955017880,Replacement 3-2-1 series II Media center only for Bose 321 II System
